Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;545,282043457031;81,0836974624544;545,282;60;7;111;False
2;656;147,640965914354;656;80;7;173,5;True
3;656;119,788762042113;656;70;7;173,5;True
4;656;118,989642455429;656;70;7;173,5;True
5;656;138,946435127035;656;70;7;157;True
6;656;122,772935981676;656;70;7;157;True
7;656;146,48258134909;656;70;7;157;True
8;656;149,73325872235;656;80;8;156;True
9;656;165,42310853675;656;80;8;156;True
10;656;143,182629661262;656;80;8;156;True
11;656;146,634426361509;656;80;8;156;True
12;656;122,107914894074;656;80;8;156;True
13;656;131,584044400975;656;80;8;156;True
14;656;164,625073089823;656;80;8;156;True
15;656;109,11283907406;656;80;8;156;True
16;656;133,340353818238;656;80;8;156;True
17;656;116,618636294827;656;80;8;156;True
18;656;124,217383830622;656;80;8;156;True
19;656;111,328799068928;656;80;8;156;True
20;656;113,249774844293;656;80;8;156;True
21;656;121,418576841429;656;80;8;156;True
22;656;92,1899135634303;656;80;8;156;True
23;656;130,892037390918;656;70;8;143,5;True
24;656;147,153567074426;656;70;8;143,5;True
25;656;137,71771208737;656;70;8;143,5;True
26;656;111,249372800067;656;70;8;143,5;True
27;656;105,625034250785;656;70;8;143,5;True
28;656;128,492140420526;656;70;8;143,5;True
29;656;140,793388846517;656;70;8;143,5;True
30;656;127,490397691913;656;70;8;143,5;True
