Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;215,441635131836;-29,7562175750732;514,3086;60,1867;8;115,5;False
2;115,128196716309;-43,4979118108749;332,8724;40,85543;7;141;False
3;109,882347106934;-64,6637201309204;303,9501;37,0873;7;132;False
4;164,177383422852;-40,7881567001343;371,1151;40,20905;6;141;False
5;78,8840942382813;-58,5973464012146;206,5399;23,19659;8;148;False
6;158,109100341797;-52,7972030639648;514,2262;67,61993;8;142,5;False
7;2199,4775390625;74,7737483978271;656;77,9382;8;187,5;True
8;112,844100952148;-29,3633811950684;297,1326;33,7377;8;154,5;False
9;107,171127319336;-44,7926179885864;338,3077;43,67239;6;134;False
10;258,982604980469;-30,2845149278641;625,6044;70,49805;6;152,5;False
11;181,711471557617;-22,1670627593994;475,4373;57,60077;8;127;False
12;236,18717956543;22,3515874862671;513,2147;53,52832;8;153;False
13;178,045074462891;-0,257379531860352;588,9824;73,46198;5;199,5;False
14;155,965774536133;-4,05624217987061;369,1725;43,87201;8;105,5;False
15;137,352645874023;-4,01228756904602;336,1969;40,06628;8;114,5;False
16;152,976226806641;-35,7947276115417;440,2141;50,58179;7;190,5;False
17;189,781555175781;-32,759131026268;442,0367;46,54639;6;172;False
18;131,089248657227;-15,250031375885;551,8456;71,67957;8;232,5;False
19;116,874603271484;-30,1801952362061;299,7834;34,71985;8;139,5;False
20;195,466369628906;-40,7771993637085;514,0609;58,72424;7;172,5;False
21;174,399215698242;-47,7465028762817;586,6179;81,2959;7;112,5;False
22;217,169845581055;-20,6223518371582;478,7445;51,20447;8;142;False
23;2259,82177734375;74,8396953582764;656;69,71021;8;163;True
