Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;300,665405273438;69,9419343829155;300,6654;38,5798;6;128,5;False
2;472,756011962891;199,74476518333;472,756;75,30873;6;143;False
3;474,9150390625;135,321452064067;474,915;60;6;143;False
4;586,6015625;190,241337674856;586,6016;76,85004;6;145;False
5;586,753356933594;172,579071825743;586,7534;77,38342;6;145;False
6;586,105346679688;144,283400896192;586,1053;75,89648;6;145;False
7;591,513732910156;157,679887586832;591,5137;82,56262;6;145;False
8;656;159,712968359888;656;84,63208;7;144;True
9;589,719604492188;107,563613185287;589,7196;75,65137;6;145;False
10;656;152,530571642518;656;84,24463;7;144;True
11;583,908752441406;174,68008197546;583,9088;74,97778;6;145;False
12;621,671813964844;218,762089854479;621,6718;74,83813;7;148;False
13;585,13671875;135,537689685822;585,1367;66,02734;7;148;False
14;656;103,991858717799;656;66,10132;7;148;True
15;595,633239746094;185,219581465051;595,6332;75,77612;7;180,5;False
16;656;156,800344827771;656;75,79419;7;180,5;True
17;656;167,29605737105;656;76,46875;7;180,5;True
18;656;163,129256561399;656;75,90869;7;180,5;True
19;656;190,097099614143;656;74,62012;7;180,5;True
20;656;178,989206314087;656;76,30859;7;180,5;True
21;584,884399414063;175,946199989319;584,8844;74,50928;6;133;False
22;582,967346191406;169,617347967625;582,9673;75,96436;6;133;False
23;584,723510742188;142,358107754588;584,7235;78,90137;6;133;False
24;585,807983398438;189,846163702011;585,808;75,79785;6;133;False
25;582,281921386719;205,527472853661;582,2819;78,14746;6;133;False
26;584,826782226563;130,885725289583;584,8268;78,17578;6;133;False
27;586,525146484375;122,824346554279;586,5251;74,73633;6;133;False
28;593,019226074219;155,493476521969;593,0192;83,74707;6;185;False
29;584,593139648438;149,990171146393;584,5931;76,00537;6;133;False
30;584,655395507813;175,772621701658;584,6554;76,04785;6;133;False
