Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;69,7980499267578;37,5471164321899;240,3751;29,28835;5;132,5;False
2;69,7989730834961;33,8362009239197;240,3804;29,24422;5;132,5;False
3;69,7980041503906;36,0195397949219;240,3748;29,25447;5;132,5;False
4;69,8211669921875;34,651796169281;240,5072;29,3273;5;132,5;False
5;69,8102416992188;37,014498500824;240,4448;29,21773;5;132,5;False
6;69,774040222168;35,0713854980469;240,2379;29,22305;5;132,5;False
7;69,8019485473633;37,1430107688904;240,3974;29,27719;5;132,5;False
8;69,8021011352539;33,8506267738342;240,3982;29,24936;5;132,5;False
9;69,7836608886719;35,3462790298462;240,2929;29,23849;5;132,5;False
10;70,7190093994141;35,1573111915588;255,8065;34,63895;8;171;False
11;70,7242279052734;35,6638875770569;255,8364;35,85907;8;171;False
12;70,7211456298828;33,7967111968994;255,8188;35,83112;8;171;False
13;70,715461730957;35,4757253837585;255,7863;34,6665;8;171;False
14;70,7177886962891;38,2219417953491;255,7996;35,48138;8;171;False
15;70,721076965332;35,9953474807739;255,8184;36,09796;8;171;False
16;70,7165679931641;35,6510485267639;255,7926;34,67841;8;171;False
17;70,7133865356445;34,7707680511475;255,7744;34,88379;8;171;False
18;70,7206039428711;34,2433030319214;255,8157;35,54663;8;171;False
19;70,7175140380859;34,9209364509583;255,798;35,01935;8;171;False
20;70,7184753417969;35,8737909889221;255,8035;35,10266;8;171;False
21;70,7213287353516;34,736264667511;255,8198;35,68225;8;171;False
22;70,8507537841797;35,5801403236389;255,752;34,52612;7;180;False
23;70,8703231811523;35,931682548523;255,8638;34,3468;7;180;False
24;70,8639144897461;34,9341242027283;255,8272;34,57312;7;180;False
25;70,8507232666016;37,1508769226074;255,7518;36,17932;7;180;False
26;70,8675003051758;35,902678604126;255,8477;34,5907;7;180;False
27;70,8630752563477;35,6264670562744;255,8224;34,68896;7;180;False
28;70,8581771850586;35,3967734718323;255,7944;34,6792;7;180;False
29;70,8614654541016;35,1424790763855;255,8132;34,42676;7;180;False
30;70,8683776855469;35,4847829246521;255,8527;34,62927;7;180;False
