Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;68,4330902099609;41,5008366966248;237,405;30,66118;6;147;False
2;78,4117050170898;33,1662839889526;302,5842;12,13686;7;245,5;False
3;68,3007354736328;32,270774936676;236,6487;30,42653;6;147;False
4;82,0094223022461;32,2882183265686;323,1426;14,90178;7;245,5;False
5;68,3450698852539;33,5670604324341;236,902;30,4416;6;147;False
6;68,3128356933594;32,3852127075195;236,7178;30,40057;6;147;False
7;68,4131927490234;33,2682160568237;237,2913;30,61346;6;147;False
8;68,3482055664063;32,8119989395142;236,92;30,45438;6;147;False
9;68,1523513793945;33,1033233833313;236,8442;29,87155;7;117;False
10;68,3092956542969;32,534836101532;236,6976;30,42984;6;147;False
11;68,907829284668;36,065324382782;248,4747;34,32742;8;225,5;False
12;69,2495040893555;32,9582357025146;250,4271;34,83151;8;225,5;False
13;69,2815628051758;32,5474416732788;250,6103;34,87415;8;225,5;False
14;69,2665786743164;32,9863024139404;250,5247;34,84033;8;225,5;False
15;69,2648315429688;34,1352952766418;250,5147;34,85925;8;225,5;False
16;68,3711700439453;33,207118396759;237,0512;30,54102;6;147;False
17;68,1937026977539;30,1028795623779;237,0805;29,94202;7;117;False
18;68,4310760498047;33,1099749946594;237,3935;30,56329;6;147;False
19;69,3469772338867;31,5939700889587;250,9841;34,9903;8;225,5;False
20;69,2384414672852;32,8047231292725;250,3639;34,82507;8;225,5;False
21;68,782600402832;34,4597280502319;247,7591;33,99811;8;225,5;False
22;69,2373123168945;32,892825756073;250,3574;34,78754;8;225,5;False
23;69,9684371948242;33,7205061721802;249,9672;36,96948;8;143;False
24;70,0674438476563;32,8661242294312;250,5329;37,23364;8;143;False
25;69,9481811523438;32,7093083381653;249,8514;36,97876;8;143;False
26;70,0951690673828;31,850761089325;250,6914;37,26526;8;143;False
27;69,912109375;33,6791487693787;249,6453;36,93323;8;143;False
28;70,0641326904297;32,3624112319946;250,514;37,26074;8;143;False
29;70,0942764282227;32,234077205658;250,6863;37,27039;8;143;False
30;69,9345474243164;32,32711977005;249,7735;36,98096;8;143;False
