Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;75,1534042358398;56,7354348373413;237,3828;31,48455;6;126;False
2;77,388069152832;57,6400992202759;236,7741;28,47719;5;162;False
3;75,1443939208984;59,1658731460571;229,5891;26,75697;6;73;False
4;76,7499008178711;59,2461929321289;230,5378;32,85143;5;163;False
5;74,6291198730469;59,4315711212158;227,8522;26,61356;6;96,5;False
6;75,4807891845703;59,2287273788452;216,3205;24,68042;5;152,5;False
7;76,4204711914063;61,1453151702881;226,008;55,00513;5;154,5;False
8;78,5241394042969;60,9139051437378;242,7569;29,67239;5;125;False
9;77,9431991577148;60,0715446090698;236,1481;28,65906;5;119,5;False
10;75,2761383056641;58,0437243652344;234,831;27,73322;6;100;False
11;75,4291839599609;60,8119331359863;237,8876;28,97833;6;110,5;False
12;78,1233825683594;60,0579935836792;242,7464;30,01654;5;152,5;False
13;76,5445327758789;59,0405353927612;224,705;55,27234;5;137;False
14;77,9636764526367;59,2196736907959;234,8267;27,98651;5;109;False
15;79,9715194702148;57,8708709335327;227,4539;32,65356;4;110;False
16;81,8261795043945;60,4908625030518;240,2821;29,11749;3;151,5;False
17;78,7061004638672;58,2854766464233;224,0293;42,85291;4;173,5;False
18;78,7535171508789;60,0121007156372;227,0471;31,39844;4;191;False
19;79,8414459228516;60,7673207473755;225,4264;28,00305;4;105;False
20;79,1829376220703;58,0272624206543;225,2367;33,08447;4;149;False
21;76,1305923461914;57,7365027999878;220,6383;52,54932;5;137,5;False
22;78,0031356811523;61,3454637145996;209,3689;37,08313;4;121;False
23;76,3949661254883;60,4501190185547;227,1337;27,94067;5;164;False
24;76,7507019042969;59,9570610809326;225,8946;49,08777;5;131;False
25;77,8285675048828;58,4010634231567;235,0745;28,14038;5;120;False
26;78,4180908203125;60,3158081817627;218,969;37,97009;4;158,5;False
27;79,4817123413086;58,2885654067993;224,3726;33,47205;4;122,5;False
28;78,1295928955078;58,8908683013916;236,8492;29,80249;5;111,5;False
29;77,7346115112305;60,5306750106812;232,6814;31,31641;5;110;False
30;78,0800018310547;60,6472299957275;236,5714;28,49365;5;113;False
