Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;456,277404785156;79,5466319583356;237,2993;28,38247;7;160,5;False
2;624,679565429688;96,6487314025988;242,7316;30,12391;6;172;False
3;695,732727050781;103,628028892353;245,0236;30,99179;8;156;False
4;720,18798828125;95,9676674890332;245,8125;32,06087;8;156;False
5;707,476440429688;109,657355533307;245,4025;31,58505;8;156;False
6;709,447998046875;112,190561904758;245,4661;31,68103;8;156;False
7;691,07861328125;97,7590915795416;244,8735;30,84668;8;156;False
8;1018,61547851563;112,239982729033;255,4392;36,11337;8;179,5;False
9;941,567199707031;114,109104158171;252,9538;35,41699;8;179,5;False
10;1100,16455078125;121,8167831311;258,0698;36,4993;8;179,5;False
11;872,88623046875;113,655809327029;250,7383;34,87427;8;179,5;False
12;1138,37438964844;120,564069198817;259,3024;34,4599;8;179,5;False
13;737,554504394531;84,7535315629561;246,3727;32,50598;8;156;False
14;737,865783691406;101,285608888417;246,3828;32,58093;8;156;False
15;691,490661621094;97,995649144263;244,8868;30,85443;8;156;False
16;957,03271484375;127,562785090692;253,4527;35,09595;8;200,5;False
17;1027,57922363281;121,519628544454;255,7284;35,72461;8;200,5;False
18;1026,37255859375;120,717660019873;255,6894;36,04242;8;200,5;False
19;1026,18103027344;120,924215552397;255,6833;35,91913;8;200,5;False
20;1026,46716308594;104,884106284007;255,6925;35,73297;8;200,5;False
21;1027,8115234375;132,881815234385;255,7359;35,75354;8;200,5;False
22;1026,68432617188;128,547553384304;255,6995;35,73816;8;200,5;False
23;1027,63220214844;104,033990968112;255,7301;35,72656;8;200,5;False
24;1026,60290527344;121,463266756758;255,6969;35,61597;8;200,5;False
25;1026,69189453125;122,208646770753;255,6997;35,63416;8;200,5;False
26;1026,14501953125;135,934803654277;255,6821;35,75671;8;200,5;False
27;1026,02014160156;128,243095150613;255,6781;35,76074;8;200,5;False
28;1027,69982910156;113,910345540196;255,7323;35,74951;8;200,5;False
29;1026,17016601563;118,939886408672;255,6829;35,73059;8;200,5;False
30;1027,76416015625;112,984589692857;255,7343;35,74316;8;200,5;False
