Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;76,1598739624023;54,8267624092102;232,6631;27,87107;5;105,5;False
2;76,132080078125;46,9632124710083;247,8941;33,02635;7;146,5;False
3;76,0137023925781;46,8807398986816;246,947;32,57599;7;146,5;False
4;76,1170501708984;47,7564174842834;232,3205;28,22949;5;105,5;False
5;76,0187606811523;47,7000186729431;246,9875;32,57805;7;146,5;False
6;76,1327209472656;46,3965841293335;247,8992;33,04059;7;146,5;False
7;76,0268402099609;46,987716178894;247,0521;32,60397;7;146,5;False
8;76,1323852539063;47,5805034637451;247,8965;33,04587;7;146,5;False
9;76,1465911865234;47,2628795433044;232,5569;28,06848;5;105,5;False
10;76,1680068969727;47,5027052116394;248,1815;33,25562;7;146,5;False
11;76,0940628051758;47,6695919418335;232,1366;27,96381;5;105,5;False
12;81,2740478515625;47,7400085067749;309,6813;14,58997;8;274,5;False
13;76,1225967407227;48,2786894035339;232,3648;28,30975;5;105,5;False
14;76,0552749633789;48,2667409515381;231,8264;28,19;5;105,5;False
15;76,0421600341797;47,6111595344543;247,1747;32,61884;7;146,5;False
16;78,0727844238281;47,3379860115051;281,6447;14,37366;8;258;False
17;76,1454467773438;47,7934037017822;232,5477;28,29132;5;105,5;False
18;76,0768203735352;47,2439453125;247,452;32,82074;7;146,5;False
19;76,0487213134766;47,06309425354;247,2272;32,74054;7;146,5;False
20;76,0762176513672;47,2951559448242;231,9939;27,89478;5;105,5;False
21;76,0646438598633;47,0233185386658;231,9012;28,01031;5;105,5;False
22;76,0849304199219;48,1695223426819;232,0636;28,11267;5;105,5;False
23;76,0160598754883;47,4734690666199;246,9659;32,59473;7;146,5;False
24;76,0766067504883;46,6434658050537;247,4503;32,81616;7;146,5;False
25;76,0136184692383;46,7466760063171;246,9463;32,5658;7;146,5;False
26;76,1361694335938;48,3345975112915;232,4735;28,21753;5;105,5;False
27;76,1558685302734;47,5933905601501;248,0844;33,14893;7;146,5;False
28;76,0399856567383;47,2219437217712;231,704;28,02551;5;105,5;False
29;76,2059020996094;46,9212888145447;233,0313;28,27991;5;105,5;False
30;76,0921859741211;47,2811337089539;232,1216;27,88513;5;105,5;False
