Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;72,8340530395508;47,43096534729;242,9095;31,73351;7;104,5;False
2;72,8319396972656;41,648088722229;242,8954;31,68202;7;104,5;False
3;72,8342437744141;41,5512420654297;242,9108;31,70804;7;104,5;False
4;72,8133392333984;39,8690751647949;242,7714;31,59216;7;104,5;False
5;72,8314361572266;40,8284320068359;242,8921;31,68579;7;104,5;False
6;72,8308181762695;40,0213586425781;242,888;31,68433;7;104,5;False
7;72,8255310058594;40,3302383804321;242,8527;31,68631;7;104,5;False
8;72,8186645507813;41,4551317596436;242,8069;31,62366;7;104,5;False
9;72,8418884277344;40,9305813217163;242,9618;31,72861;7;104,5;False
10;72,8309783935547;39,7191233444214;242,889;31,69559;7;104,5;False
11;72,8327178955078;41,0731363296509;242,9006;31,69513;7;104,5;False
12;72,8332443237305;39,5696256637573;242,9041;31,69366;7;104,5;False
13;72,8404846191406;42,2926744842529;242,9524;31,70557;7;104,5;False
14;72,8298645019531;40,7106479644775;242,8816;31,68176;7;104,5;False
15;72,8341598510742;40,3911052703857;242,9102;31,71259;7;104,5;False
16;72,820442199707;40,7837479400635;242,8188;31,62781;7;104,5;False
17;72,8218765258789;40,4788150024414;242,8283;31,63611;7;104,5;False
18;72,843017578125;39,9011869049072;242,9693;31,72638;7;104,5;False
19;72,8269195556641;41,9756165313721;242,8619;31,62366;7;104,5;False
20;72,8366470336914;40,6935705184937;242,9268;31,72742;7;104,5;False
21;83,6861801147461;40,1340837860107;332,819;34,45508;8;279;False
22;72,8166275024414;40,5473213195801;242,7933;31,61108;7;104,5;False
23;72,8363189697266;40,6553084945679;242,9247;31,71948;7;104,5;False
24;72,8384323120117;40,7923762893677;242,9387;31,7002;7;104,5;False
25;72,8021240234375;41,4066089630127;242,6966;31,55151;7;104,5;False
26;72,8242568969727;40,199387512207;242,8442;31,6405;7;104,5;False
27;72,8370513916016;40,9139524078369;242,9295;31,73657;7;104,5;False
28;72,820068359375;40,8768055725098;242,8163;31,65674;7;104,5;False
29;72,8365478515625;41,0898498916626;242,9261;31,72363;7;104,5;False
30;72,8323669433594;40,7068201065063;242,8983;31,67249;7;104,5;False
