Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;152,570922851563;-8,68773746490479;268,4721;28,92469;7;72,5;False
2;205,400512695313;24,2383195400238;455,8957;52,70823;5;95;False
3;2239,54443359375;125,388185787201;656;71,40327;6;183,5;True
4;2236,86450195313;110,932907962799;656;71,85786;6;183,5;True
5;2237,67309570313;57,0733469963074;656;71,72063;6;183,5;True
6;2237,37817382813;88,5973743438721;656;71,77069;6;183,5;True
7;2237,66455078125;90,5464147567749;656;71,72208;6;183,5;True
8;2237,55517578125;89,7990623474121;656;71,74063;6;183,5;True
9;2250,1494140625;211,938469219208;656;70,45532;6;173,5;True
10;2250,32421875;166,706446266174;656;70,42584;6;173,5;True
11;2249,80004882813;192,941572952271;656;70,51428;6;173,5;True
12;2249,62548828125;206,205724430084;656;70,54376;6;173,5;True
13;2251,04760742188;198,645874524117;656;70,30377;6;173,5;True
14;2251,5732421875;195,899712085724;656;70,21515;6;173,5;True
15;2250,25756835938;178,819287014008;656;70,43707;6;173,5;True
16;2249,20874023438;180,811086273193;656;70,61414;6;173,5;True
17;2248,875;191,804528617859;656;70,67053;6;173,5;True
18;2250,68774414063;200,595618057251;656;70,3645;6;173,5;True
19;2250,7578125;208,570467567444;656;70,35266;6;173,5;True
20;2250,46118164063;177,008380579948;656;70,40271;6;173,5;True
21;2251,255859375;175,658391857147;656;70,26868;6;173,5;True
22;2249,26733398438;189,303725719452;656;70,60425;6;173,5;True
23;2249,61499023438;171,846066856384;656;70,54553;6;173,5;True
24;2249,734375;163,621662521362;656;70,52539;6;173,5;True
25;2250,3056640625;166,402303409576;656;70,42896;6;173,5;True
26;2249,21533203125;159,097262763977;656;70,61304;6;173,5;True
27;2250,9228515625;185,245152378082;656;70,32483;6;173,5;True
28;2248,8525390625;329,424124717712;656;70,67432;6;173,5;True
29;2251,39111328125;189,691662406921;656;70,24585;6;173,5;True
30;2249,42358398438;172,313304138184;656;70,57788;6;173,5;True
