Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;473,698791503906;91,9145964660371;237,8613;29,31781;8;165,5;False
2;654,303039550781;80,3815896504093;243,6872;32,54668;8;172,5;False
3;662,817932128906;71,5169732662228;243,9619;32,60198;8;172,5;False
4;778,633666992188;82,6437151031569;247,6979;37,94029;8;224;False
5;746,053344726563;86,5255123553798;246,6469;37,60275;8;224;False
6;744,520263671875;78,8844629380231;246,5974;37,62032;8;224;False
7;899,451171875;81,1193697320608;251,5952;39,57053;8;224;False
8;829,954711914063;86,9717760444619;249,3534;38,48987;8;224;False
9;925,829284667969;93,8005325924799;252,4461;34,59152;7;196;False
10;1039,15124511719;107,063763870625;256,1017;34,06049;8;177;False
11;1040,88159179688;101,409112145038;256,1575;34,0303;8;177;False
12;1040,75952148438;115,069446011291;256,1535;34,03714;8;177;False
13;1040,82763671875;105,637087877491;256,1557;34,02008;8;177;False
14;1041,5419921875;109,324541161225;256,1788;34,03455;8;177;False
15;1040,5732421875;114,578794923921;256,1475;33,77325;8;177;False
16;1040,67163085938;103,272782035638;256,1507;34,03027;8;177;False
17;1040,67163085938;102,706302559003;256,1507;34,02679;8;177;False
18;1041,52587890625;120,688590151258;256,1783;34,02606;8;177;False
19;1041,34887695313;110,336128571536;256,1725;34,02234;8;177;False
20;1041,2353515625;111,441888530118;256,1689;34,02411;8;177;False
21;1040,87121582031;123,296350970243;256,1571;34,01508;8;177;False
22;1042,25427246094;105,58196099801;256,2018;33,34344;8;177;False
23;1041,52685546875;99,9333635877507;256,1783;34,02161;8;177;False
24;1041,01977539063;131,789835279652;256,1619;34,03687;8;177;False
25;1040,92041015625;109,128527614598;256,1587;34,00916;8;177;False
26;1041,23168945313;106,504212638596;256,1688;33,69043;8;177;False
27;1040,66772460938;123,052626042122;256,1506;33,75122;8;177;False
28;1041,39343261719;99,1896902413573;256,174;34,0343;8;177;False
29;1041,63366699219;112,07529262205;256,1817;33,71216;8;177;False
30;1041,63562011719;108,928375548373;256,1818;33,34802;8;177;False
