Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;69,4036102294922;39,3828174591064;246,8781;33,20091;8;145,5;False
2;69,3327178955078;35,8576573371887;246,4729;32,9984;8;145,5;False
3;69,3178329467773;32,6541051864624;246,3879;32,95617;8;145,5;False
4;69,3187866210938;42,5830640792847;246,3933;32,96771;8;145,5;False
5;69,3844451904297;42,9556562423706;246,7685;33,13158;8;145,5;False
6;69,3217391967773;47,5805772781372;246,4102;32,96149;8;145,5;False
7;69,1861114501953;41,6196267127991;245,6352;32,599;8;145,5;False
8;69,337028503418;38,3000606536865;246,4976;33,00421;8;145,5;False
9;69,1448669433594;39,2182683944702;245,3995;32,4968;8;145,5;False
10;69,3391418457031;32,7314346313477;246,5096;33,00955;8;145,5;False
11;69,3236083984375;37,7492987632751;246,4209;32,98282;8;145,5;False
12;69,3272247314453;40,184174156189;246,4415;32,97437;8;145,5;False
13;69,1858673095703;42,2976956367493;245,6338;32,58801;8;145,5;False
14;69,1155166625977;32,2466325759888;245,2318;32,39618;8;145,5;False
15;69,3151397705078;42,8683508872986;246,3725;32,94086;8;145,5;False
16;69,1804809570313;36,3399706840515;245,603;32,57465;8;145,5;False
17;70,3726196289063;40,7185059547424;253,1582;35,38171;7;182,5;False
18;71,2457046508789;36,926194190979;258,1473;37,14459;7;182,5;False
19;70,3785934448242;37,3349224090576;253,1924;35,31616;7;182,5;False
20;70,3660583496094;43,4510293960571;253,1207;35,30566;7;182,5;False
21;70,3845977783203;39,3696423530579;253,2267;35,32159;7;182,5;False
22;71,2463607788086;39,6315844535828;258,1511;38,22705;7;182,5;False
23;71,2424774169922;35,7506861686707;258,1288;37,30334;7;182,5;False
24;71,2413635253906;48,4807079315186;258,1225;37,71655;7;182,5;False
25;70,4664077758789;38,7744740486145;253,6942;35,38513;7;182,5;False
26;71,2465972900391;34,0725152015686;258,1524;37,34351;7;182,5;False
27;70,38330078125;38,9827956199646;253,2193;35,32813;7;182,5;False
28;70,363166809082;40,9003705024719;253,1042;35,29407;7;182,5;False
29;71,2455215454102;32,2799528121948;258,1462;37,80261;7;182,5;False
30;71,2496490478516;38,9270583152771;258,1698;37,16125;7;182,5;False
