Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;74,7684860229492;60,6425518035889;233,7517;27,86598;6;127,5;False
2;77,0683441162109;61,687063407898;230,7426;26,78994;5;142,5;False
3;79,6714019775391;62,2345975875854;229,7579;30,53925;4;146,5;False
4;73,5835494995117;58,631861114502;245,4124;31,16777;7;159;False
5;74,2151947021484;59,2482414245605;223,3494;27,67294;6;94;False
6;77,1539840698242;57,8010622024536;223,7502;46,16727;5;88,5;False
7;74,930290222168;60,8028652191162;240,0936;29,37283;6;160;False
8;74,8686218261719;57,458279800415;243,91;30,33154;6;190,5;False
9;74,2079162597656;58,120611000061;229,1634;27,73688;6;134,5;False
10;73,5556030273438;57,421753692627;228,2362;32,15366;6;173;False
11;74,1462097167969;59,0814010620117;229,9998;27,97159;6;144,5;False
12;77,0175247192383;61,9357984542847;231,9785;28,71613;5;154,5;False
13;80,3855590820313;60,9508157730103;242,4228;30,0152;4;184,5;False
14;79,9572372436523;55,0435415267944;232,2529;27,76599;4;144;False
15;74,6122055053711;55,8436069488525;231,3894;27,73163;6;122;False
16;76,9650192260742;55,0857267379761;227,529;27,53723;5;127,5;False
17;79,6807479858398;58,3945610046387;225,4909;28,61737;4;116,5;False
18;80,8942718505859;60,160692024231;237,2628;28,48212;4;114;False
19;77,5942993164063;64,7647867202759;234,0399;27,7757;5;129;False
20;81,0091171264648;62,3122791290283;234,1235;26,90363;4;84,5;False
21;78,8597564697266;62,6644079208374;240,8079;29,28241;5;88,5;False
22;77,8625030517578;57,6516153335571;232,8702;27,53638;5;102,5;False
23;78,2404937744141;60,5641319274902;236,214;28,1814;5;99,5;False
24;72,566650390625;57,792720413208;219,6548;34,15845;6;182;False
25;79,0798950195313;58,1811552047729;221,2266;27,51599;4;128,5;False
26;76,5090026855469;60,2163022994995;222,6782;40,02124;5;125,5;False
27;75,6826171875;62,0754516601562;221,1004;30,04102;5;171,5;False
28;72,5363464355469;58,4057928085327;232,1788;30,9574;7;140;False
29;72,2392044067383;55,9311996459961;235,966;28,53369;7;186,5;False
30;74,6080169677734;56,2243835449219;225,6789;35,53552;6;83;False
