Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;86,1659851074219;-49,4988401889801;230,7006;27,81759;7;127;False
2;85,7379760742188;-94,0737880706787;230,6822;27,87478;7;127;False
3;85,9650955200195;-88,5625096321106;230,8349;27,86967;7;127;False
4;86,178092956543;-98,2804802894592;230,3641;27,75647;7;127;False
5;85,0979614257813;-98,2806707382202;230,2586;27,89034;7;127;False
6;85,3433151245117;-91,1425565719605;229,8438;27,78232;7;127;False
7;674,29931640625;-38,1607540130615;995,1235;60,13303;8;272;False
8;86,2412414550781;-95,5692035675049;229,7657;27,64197;7;127;False
9;85,7438583374023;-109,682707023621;229,8158;27,72089;7;127;False
10;86,1266555786133;-88,7880822181702;229,9366;27,68826;7;127;False
11;86,0170288085938;-99,322353553772;229,1608;27,56683;7;127;False
12;86,2264633178711;-91,7382053136826;230,8549;27,8363;7;127;False
13;3093,23999023438;82,0934149742126;3206,183;64,29834;8;281;False
14;88,0972518920898;-98,3450784683228;237,1846;28,33606;7;132;False
15;88,2244262695313;-69,7735717773437;237,234;28,32678;7;132;False
