Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;79,821174621582;61,891748790741;242,4617;29,60456;7;98,5;False
2;79,8531646728516;55,0778244590759;242,7815;29,60725;7;98,5;False
3;79,8530120849609;55,946537322998;242,78;29,59918;7;98,5;False
4;79,8326797485352;55,5802164268494;242,5767;29,55148;7;98,5;False
5;79,8329315185547;55,4551173400879;242,5792;29,61447;7;98,5;False
6;79,830810546875;55,6707946586609;242,558;29,62164;7;98,5;False
7;79,8533706665039;55,383011932373;242,7836;29,62094;7;98,5;False
8;79,8326416015625;55,7206616210937;242,5763;29,58124;7;98,5;False
9;79,8605346679688;55,4042654037476;242,8553;29,62653;7;98,5;False
10;79,8530960083008;55,8466457366943;242,7809;29,63708;7;98,5;False
11;79,8531265258789;55,8024031639099;242,7811;29,62439;7;98,5;False
12;79,8328247070313;55,6727230072022;242,5781;29,60596;7;98,5;False
13;79,8280410766602;55,0186937904358;242,5303;29,58203;7;98,5;False
14;79,8531799316406;55,182946395874;242,7817;29,65143;7;98,5;False
15;79,8527908325195;55,3919000434875;242,7778;29,60846;7;98,5;False
16;79,8533020019531;55,7348537635803;242,7829;29,64044;7;98,5;False
17;79,8313674926758;55,5809190177918;242,5636;29,57208;7;98,5;False
18;85,3605422973633;55,4356475067139;337,1476;21,81702;7;269,5;False
19;80,280876159668;55,6003012084961;286,3509;40,0603;7;269,5;False
20;79,8535308837891;55,3488539886475;242,7852;29,59949;7;98,5;False
21;79,8533172607422;55,1621764945984;242,783;29,6228;7;98,5;False
22;79,8535614013672;55,4904483795166;242,7856;29,65039;7;98,5;False
23;82,8490524291992;55,300028553009;314,3177;15,36023;8;269,5;False
24;79,8267593383789;55,6938490867615;242,5175;29,55591;7;98,5;False
25;79,8531951904297;55,0511270904541;242,7819;29,64783;7;98,5;False
26;79,8327713012695;54,9467553520203;242,5776;29,57825;7;98,5;False
27;79,8568878173828;55,0893302345276;242,8188;29,64185;7;98,5;False
28;79,8329467773438;54,8005244255066;242,5794;29,59192;7;98,5;False
29;79,8336181640625;54,7373218536377;242,5861;29,59229;7;98,5;False
30;79,8322219848633;56,5212606620789;242,5721;29,60278;7;98,5;False
