Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;110,913055419922;-44,4416877746582;266,7099;32,3881;7;103;False
2;145,170913696289;-36,9647540569305;408,2838;48,99017;8;153;False
3;203,154113769531;-44,1519285202026;477,358;54,99321;8;120;False
4;187,994964599609;-24,2503387928009;474,4413;52,81548;6;170,5;False
5;2223,77880859375;96,070663523674;656;78,10306;7;137;True
6;2175,48901367188;96,0250663757324;656;85,13922;8;153,5;True
7;138,140365600586;-45,5079634666443;368,2371;41,91794;7;164;False
8;107,574951171875;-46,0369068145752;258,9694;34,37576;8;64,5;False
9;201,188064575195;-31,6784471511841;440,7301;50,64233;7;94,5;False
10;255,445205688477;-7,52226345539093;625,8456;74,19006;8;117;False
11;190,576843261719;-5,54888896942139;474,7552;56,5824;7;120;False
12;158,266357421875;-37,5971471786499;438,3521;51,68976;7;162;False
13;190,242645263672;-37,1553188323975;442,6734;49,70465;8;132,5;False
14;131,006362915039;25,5827947616577;295,3892;33,80853;6;113;False
15;147,291137695313;-32,9122927904129;329,8182;37,47638;7;113,5;False
16;82,4828186035156;-41,7645300865173;265,9414;34,14557;6;134,5;False
17;246,905090332031;-30,8867584943771;624,4444;75,61877;6;114,5;False
18;185,355407714844;2,97452487945557;441,6144;50,53589;7;129,5;False
19;88,1100769042969;-59,6465985298157;341,3011;44,03833;8;174,5;False
20;224,047454833984;-26,5154720306397;588,9227;64,92432;8;207,5;False
21;2239,54907226563;176,413181686401;656;68,58154;6;217;True
22;123,911811828613;-17,4738698244095;300,919;35,10291;8;123;False
23;148,806137084961;7,20510597229004;372,1674;40,9469;6;164,5;False
24;170,925720214844;-24,6769034385681;416,452;45,63208;7;162,5;False
25;118,592628479004;-33,8248104095459;295,6659;32,32141;7;159;False
26;212,140106201172;2,81661396026611;520,8611;54,68005;8;204;False
27;139,779357910156;-15,8156814575195;302,7741;33,03162;7;124;False
28;2100,14233398438;66,818378162384;656;100,2799;6;136,5;True
29;227,926727294922;13,1577315807343;548,1884;62,81934;7;134,5;False
30;125,285911560059;-29,5596405982971;406,9729;48,77002;8;192,5;False
