Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;77,5829772949219;58,0135459518433;232,6912;28,21826;5;120,5;False
2;77,4242095947266;53,9509658813477;228,1239;40,5551;5;100;False
3;75,1778030395508;53,1417958450317;217,5785;28,39096;5;182;False
4;73,6897125244141;52,1399861526489;238,9886;28,33458;7;107,5;False
5;73,1694793701172;52,8678131866455;228,2993;29,88268;6;200;False
6;79,4873199462891;53,0661463928223;234,0217;28,483;4;188,5;False
7;74,8858261108398;53,9908957672119;231,2186;33,16187;6;102;False
8;74,2010498046875;53,187127532959;228,7314;27,77841;6;132;False
9;74,5277099609375;54,4101642990112;240,0648;29,48938;6;187,5;False
10;75,307746887207;54,0082949066162;246,9931;32,38739;6;181,5;False
11;77,3071365356445;51,7514061737061;233,2758;27,83118;5;143,5;False
12;74,7166976928711;54,1379517745972;240,9372;29,83789;6;180,5;False
13;74,1927337646484;53,4618786239624;238,8226;29,50958;6;202;False
14;80,7653198242188;53,6286896514893;230,2549;28,5592;3;155,5;False
15;78,4607849121094;53,1333149719238;232,0216;29,52307;5;55,5;False
16;76,6593551635742;53,1028764724731;233,266;29,14276;5;188;False
17;73,3703994750977;51,4133570098877;229,2912;29,62555;6;193;False
18;72,8262100219727;53,3767935180664;226,5381;27,89624;6;211,5;False
19;75,5003051757813;52,3961532211304;221,1668;28,38068;5;184,5;False
20;78,6762847900391;52,4047374343872;225,548;29,23645;4;186;False
21;74,8304595947266;53,4866958236694;234,2987;29,88135;6;127;False
22;72,6781692504883;54,2745088195801;237,158;29,80481;7;164,5;False
23;73,799186706543;52,839163017273;231,9801;34,18689;6;182;False
24;77,4000701904297;52,1277549743652;234,2779;28,27307;5;144;False
25;80,6192398071289;54,3713494110107;236,9834;30,62537;4;131;False
26;72,842155456543;53,4262785339355;220,4476;26,67212;6;168,5;False
27;76,7036666870117;53,2844031906128;226,9504;27,93164;5;141,5;False
28;72,5983123779297;53,6717824935913;234,4699;28,93335;7;151,5;False
29;74,2621536254883;53,42227394104;235,9557;28,45081;6;177,5;False
30;73,5349960327148;52,2847242736816;256,7557;34,10181;8;177,5;False
