Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;76,4617004394531;54,5167482757568;236,6218;28,3116;5;116;False
2;76,5363693237305;47,8583832359314;237,2192;28,32102;5;116;False
3;76,4399261474609;46,5516948890686;236,4477;28,49057;5;116;False
4;76,5564727783203;47,6024158668518;237,38;28,59537;5;116;False
5;76,4893493652344;47,5381901741028;236,8431;28,46439;5;116;False
6;76,1776351928711;47,5466828727722;234,3493;27,89392;5;116;False
7;76,1777420043945;48,0546615791321;234,3502;28,19708;5;116;False
8;76,0430603027344;47,7612275886536;230,4051;29,5;5;96,5;False
9;76,0489349365234;47,1941160392761;230,4521;29,60001;5;96,5;False
10;76,1646270751953;46,8684174728394;234,2453;27,59601;5;116;False
11;76,0558166503906;46,782613067627;233,3748;27,5;5;116;False
12;76,0456466674805;47,7588710212708;230,4258;29,49774;5;96,5;False
13;76,2406311035156;47,4052133178711;234,8533;27,79999;5;116;False
14;80,9833602905273;46,8489318084717;308,0911;12,09998;8;279,5;False
15;76,1991882324219;46,888358001709;234,5217;28,10004;5;116;False
16;76,2480621337891;47,4279364013672;234,9127;27,90002;5;116;False
17;76,0440826416016;46,5006017684937;230,4133;29,5;5;96,5;False
18;76,4242935180664;46,7729566383362;236,3226;28,2995;5;116;False
19;76,5022888183594;47,1410751533508;236,9465;28,39001;5;116;False
20;76,3421630859375;46,8511138534546;235,6656;28,29993;5;116;False
21;76,5514373779297;47,1479183959961;237,3397;28,5;5;116;False
22;76,04931640625;47,2610822868347;230,4551;29,59998;5;96,5;False
23;76,4651565551758;47,5756920623779;236,6495;28,40002;5;116;False
24;76,4661407470703;47,536819858551;236,6574;28,3999;5;116;False
25;76,3095855712891;46,9238361740112;235,4049;28,09998;5;116;False
26;76,3801193237305;46,8795554351807;235,9692;28,29993;5;116;False
27;76,1688842773438;47,2715466499329;234,2793;28,09998;5;116;False
28;76,4569549560547;46,9417221260071;236,5839;28,29846;5;116;False
29;76,0436477661133;48,0852593612671;230,4098;29,5;5;96,5;False
30;76,2929611206055;47,6795956993103;235,2719;28,19995;5;116;False
