Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;73,8529891967773;48,4141854476929;251,7861;36,46563;6;161,5;False
2;73,4727630615234;40,952746963501;249,2513;68,73001;6;161,5;False
3;71,3942794799805;40,2005030822754;235,2569;27,96703;6;160;False
4;71,4568405151367;40,9396873474121;235,6739;27,98807;6;160;False
5;71,612419128418;41,0631351089478;236,7111;28,24152;6;160;False
6;71,6162261962891;40,9841687393188;236,7365;28,23129;6;160;False
7;71,5381774902344;40,6274308013916;236,2161;28,12567;6;160;False
8;80,2950057983398;40,9420289230347;310,2112;14,09946;8;279;False
9;72,1403274536133;42,3177564620972;245,7364;32,37848;8;169;False
10;72,2362594604492;40,4156602859497;246,3759;32,76746;8;169;False
11;72,1402130126953;39,9302726364136;245,7356;32,36115;8;169;False
12;72,2366714477539;41,0721993255615;246,3786;32,73828;8;169;False
13;72,2364501953125;40,2284526824951;246,3772;32,73163;8;169;False
14;72,0811996459961;40,5141296386719;245,3422;32,09637;8;169;False
15;72,2365341186523;39,5621755981445;246,3777;32,78778;8;169;False
16;72,2923431396484;40,634644317627;246,7498;32,92767;8;169;False
17;72,1877288818359;41,6173567581177;246,0523;32,57135;8;169;False
18;72,2367172241211;40,9702096557617;246,3789;32,78418;8;169;False
19;72,2373886108398;41,0999174880981;246,3834;32,77539;8;169;False
20;72,1398391723633;41,1683840179443;245,7331;32,38696;8;169;False
21;72,2360992431641;41,680920791626;246,3749;32,72827;8;169;False
22;72,2359619140625;39,7112076568604;246,3739;32,76514;8;169;False
23;72,1428451538086;40,1905830764771;245,7531;32,44604;8;169;False
24;72,1912460327148;41,4218351745605;246,0758;32,60291;8;169;False
25;72,2363739013672;41,4077256393433;246,3766;32,74292;8;169;False
26;72,2701797485352;40,0711263275146;246,602;32,88232;8;169;False
27;72,2365493774414;40,5076634597778;246,3778;32,77185;8;169;False
28;72,1906814575195;40,4408514404297;246,072;32,57422;8;169;False
29;72,2361679077148;40,5907396316528;246,3753;32,72668;8;169;False
30;72,2355651855469;41,0900513839722;246,3713;32,76904;8;169;False
