Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;71,7628173828125;47,190775604248;238,8011;28,99012;7;137,5;False
2;71,7329711914063;40,4541612243652;238,6021;28,96704;7;137,5;False
3;71,781852722168;40,927007522583;235,3591;28,34445;6;133;False
4;71,7299652099609;42,0409833145142;238,582;28,98238;7;137,5;False
5;71,7586975097656;40,2928646850586;235,2047;28,2832;6;133;False
6;83,8910446166992;40,7483441543579;330,8759;8,961945;8;243;False
7;71,7238998413086;38,5737312316895;234,9727;28,23749;6;133;False
8;71,7753372192383;41,3176599884033;238,8845;28,98849;7;137,5;False
9;71,7140274047852;40,2394696426392;238,4758;28,95334;7;137,5;False
10;71,6934356689453;40,9265356826782;238,3385;28,96887;7;137,5;False
11;71,6964950561523;40,3944390106201;238,3589;28,95325;7;137,5;False
12;71,8718032836914;40,6684756469727;235,9587;28,7226;6;133;False
13;71,7846755981445;39,6799018859863;235,3779;28,98651;6;133;False
14;71,7327423095703;41,1833917236328;235,0317;28,31775;6;133;False
15;71,7953643798828;41,2934831619263;235,4492;28,82166;6;133;False
16;71,8374633789063;40,8920142745972;247,9452;34,08862;8;215;False
17;71,8764038085938;40,5113428878784;248,2047;34,16815;8;215;False
18;71,8733825683594;40,5122385406494;248,1846;34,13776;8;215;False
19;83,8452911376953;41,7788202285767;329,5531;17,22241;7;248,5;False
20;71,8480682373047;39,3820853424072;248,0159;34,09167;8;215;False
21;71,8710174560547;40,9151853179932;248,1689;34,12988;8;215;False
22;71,8709869384766;41,227329750061;248,1687;34,13745;8;215;False
23;71,8000106811523;40,2935888290405;247,6955;33,94678;8;215;False
24;71,8987197875977;40,4472510910034;248,3536;34,20911;8;215;False
25;71,8457641601563;40,0637376785278;248,0005;34,08093;8;215;False
26;71,8545913696289;40,9996342086792;248,0594;34,12842;8;215;False
27;71,8517379760742;40,6954067993164;248,0403;34,11047;8;215;False
28;71,870491027832;40,7549071121216;248,1653;34,1604;8;215;False
29;71,7968215942383;41,4283191680908;247,6742;33,9502;8;215;False
30;71,8759155273438;40,5122714233398;248,2015;34,13928;8;215;False
