Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;66,4071044921875;39,7080445289612;225,6809;40,2755;7;95,5;False
2;68,2724685668945;39,7392585754395;233,3864;28,65876;6;91;False
3;68,463249206543;44,6417327880859;240,0926;29,09798;8;120;False
4;68,4282836914063;39,2075394630432;239,8928;29,03616;8;120;False
5;68,4634780883789;34,5920317649841;240,0939;29,07954;8;120;False
6;68,6945343017578;36,5536559104919;241,2481;29,005;8;117;False
7;71,6159286499023;41,5623288154602;253,4609;34,9989;6;108,5;False
8;71,6213455200195;40,2222702980041;253,4919;35,009;6;108,5;False
9;71,7031631469727;43,9414786338806;253,9593;35,01657;6;108,5;False
10;71,6979141235352;43,1748925209045;253,9294;35,1601;6;108,5;False
11;71,6799163818359;42,896889591217;253,8265;35,02383;6;108,5;False
12;71,6814727783203;47,0154463768005;253,8354;35,01099;6;108,5;False
13;71,6987228393555;43,1836760520935;253,934;35,16724;6;108,5;False
14;71,6844787597656;36,9956614494324;253,8526;35,01398;6;108,5;False
15;71,708122253418;38,1756344795227;253,9877;35,0257;6;108,5;False
16;71,6987457275391;40,1878582000732;253,9342;35,17126;6;108,5;False
17;71,6805191040039;38,886076259613;253,83;35,01428;6;108,5;False
18;71,6978073120117;38,0119320869446;253,9288;35,00665;6;108,5;False
19;71,6984405517578;43,2936082839966;253,9324;35,15796;6;108,5;False
20;71,6801147460938;44,0487986564636;253,8277;35,00696;6;108,5;False
21;71,6154556274414;48,9613251686096;253,4582;35,00067;6;108,5;False
22;71,7123489379883;41,5303954124451;254,0119;35,18237;6;108,5;False
23;71,6170349121094;32,2773447036743;253,4672;34,99658;6;108,5;False
24;71,6971130371094;42,2880896568298;253,9248;35,03625;6;108,5;False
25;71,6983642578125;40,081396484375;253,932;35,16162;6;108,5;False
26;71,6831665039063;41,1606305122375;253,8451;35,02234;6;108,5;False
27;71,679313659668;40,2911655426025;253,8231;35,01624;6;108,5;False
28;71,698356628418;37,5224358558655;253,9319;35,16394;6;108,5;False
29;71,6977462768555;45,3731712341309;253,9284;35,01355;6;108,5;False
30;71,6989669799805;45,8538979530334;253,9354;35,16809;6;108,5;False
