Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;76,0258407592773;53,8267541503906;230,2673;27,86157;5;96,5;False
2;76,0165634155273;47,0586386680603;230,1931;27,88158;5;96,5;False
3;76,0291519165039;48,1460901641846;230,2938;27,87981;5;96,5;False
4;76,0109329223633;47,2599568748474;230,148;27,86826;5;96,5;False
5;76,0209655761719;48,6395480155945;230,2283;27,90219;5;96,5;False
6;76,0222778320313;46,7890732955933;230,2388;27,77975;5;96,5;False
7;76,0130920410156;47,5370332336426;230,1653;27,88599;5;96,5;False
8;76,8078689575195;47,5653785896301;257,1136;34,29214;8;160;False
9;78,255500793457;47,5989812660217;283,327;16,18332;8;259,5;False
10;76,8129425048828;47,2150493431091;257,1542;34,63312;8;160;False
11;76,8076400756836;47,9513961601257;257,1118;36,01538;8;160;False
12;76,4327850341797;46,7960812568665;254,113;35,53613;8;160;False
13;76,8053588867188;47,4575402450562;257,0936;35,57404;8;160;False
14;76,8009719848633;48,1466321182251;257,0585;35,91528;8;160;False
15;76,8049545288086;47,0380961036682;257,0903;35,92657;8;160;False
16;76,8068618774414;47,418537273407;257,1056;35,88019;8;160;False
17;79,3888168334961;46,9756231880188;292,3303;6,162659;7;271,5;False
18;76,8876724243164;47,6965135765076;272,4579;9,895264;8;260;False
19;76,4128570556641;47,9399006843567;253,9536;35,5155;8;160;False
20;76,8125686645508;46,8142952919006;257,1512;34,7832;8;160;False
21;87,5733108520508;47,3249393844605;356,2519;14,07983;8;248,5;False
22;76,8126907348633;47,1748461341858;257,1523;34,36377;8;160;False
23;76,4322128295898;47,430646686554;254,1084;35,50427;8;160;False
24;76,7250061035156;47,9830576324463;253,5096;35,2041;8;140;False
25;76,8097915649414;47,4197584152222;257,129;34,36145;8;160;False
26;76,8041229248047;47,2342600631714;257,0837;35,87122;8;160;False
27;76,7256393432617;46,8254612922668;253,5146;35,19666;8;140;False
28;76,8096542358398;47,7774549484253;257,128;34,94055;8;160;False
29;76,8048248291016;47,2788935852051;257,0893;35,98962;8;160;False
30;78,4150924682617;48,0947692680359;286,1479;17,38428;8;270;False
