Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;128,230422973633;-61,8681937217712;331,3057;37,11283;7;160;False
2;159,731857299805;-8,44306774139404;440,0863;53,11964;7;145,5;False
3;154,142868041992;-18,7410474777222;404,3951;47,43562;7;145,5;False
4;142,789352416992;-25,1109577178955;440,9672;56,09172;7;145,5;False
5;208,856094360352;0,874077177047729;442,8502;45,98212;6;143;False
6;206,751663208008;-11,5576468467712;441,6433;47,30017;8;127,5;False
7;2205,11376953125;103,570618438721;656;79,22025;8;161,5;True
8;2201,59326171875;77,2987272262573;656;79,83508;8;161,5;True
9;2215,912109375;102,407279777527;656;77,3421;8;161,5;True
10;2201,91430664063;123,089497065544;656;79,77893;8;161,5;True
11;2199,52001953125;110,195454835892;656;80,19769;8;161,5;True
12;2207,01782226563;106,595660591125;656;78,88824;8;161,5;True
13;2209,2177734375;81,7910678863525;656;78,50507;8;161,5;True
14;2198,1357421875;97,9957369804382;656;80,44006;8;161,5;True
15;2251,388671875;183,30136089325;656;69,61487;7;181;True
16;2254,67211914063;203,734011507034;656;69,06348;7;181;True
17;2250,41015625;216,419153594971;656;69,77942;7;181;True
18;2254,36791992188;194,22701625824;656;69,1145;7;181;True
19;2247,31982421875;190,017156887054;656;70,30005;7;181;True
20;2254,169921875;207,184524536133;656;69,14771;7;181;True
21;2252,3349609375;191,803254890442;656;69,45581;7;181;True
22;2251,34130859375;188,444722008705;656;69,6228;7;181;True
23;2254,7470703125;213,301771402359;656;69,0509;7;181;True
24;2250,04467773438;300,428703308105;656;69,84094;7;181;True
25;2251,30004882813;196,405075931549;656;69,62976;7;181;True
26;2255,04565429688;210,864811897278;656;69,00085;7;181;True
27;2251,96069335938;217,692259407043;656;69,51868;7;181;True
28;2254,90209960938;203,573066663742;656;69,0249;7;181;True
29;2254,92260742188;215,768620872498;656;69,02148;7;181;True
30;2251,64624023438;272,673771905899;656;69,57153;7;181;True
