Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;517,389526367188;99,0227946675383;239,2706;29,41523;7;182;False
2;534,400390625;78,9545512618497;239,8194;29,38729;7;182;False
3;519,533752441406;71,6800187351182;239,3398;29,31215;7;182;False
4;520,887084960938;82,9938223622739;239,3835;29,33369;7;182;False
5;519,911193847656;68,9829746380448;239,352;29,30441;7;182;False
6;520,052185058594;70,8207440968603;239,3565;29,32744;7;182;False
7;524,670288085938;74,6254836823442;239,5055;29,35422;7;182;False
8;540,750244140625;77,4299749759957;240,0242;29,45053;7;182;False
9;516,278869628906;69,7110405197367;239,2348;29,30341;7;182;False
10;522,716247558594;78,5186036781641;239,4425;33,04175;8;252,5;False
11;544,448791503906;57,9657582787797;240,1435;29,46259;7;182;False
12;519,82275390625;88,9291020466015;239,3491;29,31909;7;182;False
13;518,545104980469;93,9050339378417;239,3079;29,31055;7;182;False
14;1963,58288574219;111,487822595984;285,922;16,29382;8;281;False
15;545,150756835938;80,072819346562;240,1662;29,48346;7;182;False
16;519,798645019531;74,0858244571369;239,3483;29,31244;7;182;False
17;524,41015625;102,831513773277;239,4971;29,30841;7;182;False
18;520,166137695313;80,1575352791697;239,3602;29,31342;7;182;False
19;519,062622070313;87,7016043510608;239,3246;33,00409;8;252,5;False
20;575,007934570313;107,58579884842;241,1293;15,56757;8;281;False
21;539,039794921875;79,9934605546761;239,969;29,46008;7;182;False
22;520,553100585938;67,3309576619417;239,3727;29,33606;7;182;False
23;533,030029296875;79,3714894548059;239,7752;29,39465;7;182;False
24;544,94873046875;89,4571766098961;240,1596;29,47449;7;182;False
25;649,931396484375;85,6274742670357;243,5462;30,58411;8;190;False
26;1037,47778320313;117,471263104677;256,0477;32,30652;8;252,5;False
27;1038,5439453125;105,695705775823;256,0821;32,74438;8;252,5;False
28;1035,96875;105,907397383638;255,999;32,31287;8;252,5;False
29;1038,46350097656;122,747315828549;256,0795;32,87646;8;252,5;False
30;1036,17309570313;94,8873444829136;256,0056;32,77063;8;252,5;False
31;1035,97631835938;114,514855480567;255,9992;32,30005;8;252,5;False
32;1038,5107421875;109,985289625451;256,081;32,77002;8;252,5;False
33;1041,68383789063;142,38645273;256,1833;32,90344;8;252,5;False
34;1044,0810546875;122,881941372529;256,2607;32,66223;8;252,5;False
35;1044,37719726563;114,307929501729;256,2702;32,68018;8;252,5;False
36;1044,53430175781;104,566315070726;256,2753;32,65649;8;252,5;False
37;1044,38952636719;115,309552100487;256,2706;32,68628;8;252,5;False
38;1044,01770019531;96,3354723386467;256,2586;32,71558;8;252,5;False
39;1044,39709472656;112,663831749279;256,2709;32,65247;8;252,5;False
40;1045,03283691406;117,277943076938;256,2914;32,66968;8;252,5;False
41;1044,80200195313;112,56381155774;256,2839;32,67188;8;252,5;False
42;1044,38671875;120,09967877008;256,2705;32,64575;8;252,5;False
43;1044,39233398438;130,51522716186;256,2707;32,67554;8;252,5;False
44;1061,02856445313;145,084411337134;256,8074;44,27026;8;280;False
45;1096,52221679688;139,760826442938;257,9523;44,48267;8;280;False
46;1123,26318359375;154,651726755733;258,8149;46,97485;8;280;False
47;1094,13159179688;161,019986286946;257,8752;40,0166;8;280;False
48;1105,85119628906;162,33162663728;258,2533;41,6189;8;280;False
49;1113,92578125;158,619276515208;258,5137;49,68872;8;280;False
50;1114,91906738281;153,616699906066;258,5458;43,03613;8;280;False
51;1111,98254394531;163,432825481892;258,451;46,14087;8;280;False
52;1113,42810058594;177,7012950629;258,4977;44,68726;8;280;False
53;1114,09033203125;153,520563187636;258,519;44,81348;8;280;False
54;1104,26098632813;157,871117048152;258,202;44,4436;8;280;False
55;1090,08544921875;145,136521891505;257,7447;39,55835;8;280;False
56;1392,31274414063;167,311883242056;267,494;24,45386;8;281;False
57;1100,31115722656;134,351953808591;258,0746;47,65137;8;280;False
58;1107,07165527344;150,065812947974;258,2926;41,20654;8;280;False
59;1094,05883789063;166,280352520943;257,8729;49,46631;8;280;False
60;1127,11547851563;160,891912243981;258,9392;43,70972;8;280;False
