Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;98,5594177246094;-56,8922837257385;235,4386;27,89295;7;113;False
2;101,038795471191;-55,6338548779488;230,1128;27,52079;6;100;False
3;110,423851013184;-60,8336106300354;231,3786;26,44168;6;100;False
4;100,705718994141;-44,5606171011925;229,9879;27,54555;6;100;False
5;100,989227294922;-61,0257630050182;229,8901;27,48854;6;100;False
6;101,12914276123;-50,6668747484684;229,9798;27,48471;6;100;False
7;100,92667388916;-53,323835593462;230,1997;27,55182;6;100;False
8;101,258239746094;-54,3865173578262;229,8834;27,44965;6;100;False
9;101,578819274902;-51,085415995121;235,2895;27,89914;8;106,5;False
10;102,381774902344;-66,1984515011311;235,528;27,82831;8;106,5;False
11;102,950668334961;-41,8543725073338;237,702;28,13031;8;106,5;False
12;102,113342285156;-53,6577119529247;235,3921;27,8421;8;106,5;False
13;103,015266418457;-62,3125525832176;237,7076;28,12219;8;106,5;False
14;102,251594543457;-54,246494269371;235,3357;27,81281;8;106,5;False
15;102,072807312012;-66,3383319556713;235,5265;27,8714;8;106,5;False
16;102,525497436523;-61,985960060358;235,3852;27,78308;8;106,5;False
17;102,586242675781;-56,101602512598;235,3578;27,76978;8;106,5;False
18;102,320777893066;-54,8814222812653;235,3639;27,80804;8;106,5;False
19;102,443450927734;-57,1799852132797;235,4584;27,80743;8;106,5;False
20;102,29443359375;-43,9833122551441;235,4694;27,83026;8;106,5;False
21;102,083061218262;-40,7017115652561;235,4516;27,85681;8;106,5;False
22;101,772041320801;-52,0111119031906;235,2552;27,86597;8;106,5;False
23;102,661666870117;-52,1820830583572;235,3297;27,75427;8;106,5;False
24;102,442687988281;-44,2952871441841;235,5298;27,82007;8;106,5;False
25;122,548080444336;-58,0886735320091;234,9163;28,26099;7;58,5;False
26;122,885955810547;-51,9529486060143;235,4275;28,30347;7;58,5;False
27;122,732162475586;-44,4141000270844;235,3104;28,30457;7;58,5;False
28;123,226341247559;-52,3265590250492;235,229;28,22021;7;58,5;False
29;122,886489868164;-56,3081988811493;235,3291;28,28601;7;58,5;False
30;122,937744140625;-65,1352766335011;235,259;28,26636;7;58,5;False
