Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;146,891647338867;-21,1397188186646;337,129;38,58097;8;117;False
2;151,584655761719;-3,84058361053467;337,2809;37,89863;8;117;False
3;225,648178100586;28,8424112319946;513,7317;58,01411;5;120;False
4;222,24186706543;16,3178720474243;513,695;58,56958;5;120;False
5;221,522644042969;5,6577220916748;513,7847;58,70514;5;120;False
6;231,286193847656;18,6015640258789;513,7504;57,09113;5;120;False
7;216,063171386719;26,4599765777588;513,7949;59,61276;5;120;False
8;235,491256713867;6,32123861312866;511,5799;53,70401;8;148,5;False
9;214,658157348633;-3,64684448242188;477,9292;53,22531;5;120;False
10;232,516952514648;20,0516592025757;513,6955;56,87952;5;120;False
11;221,530166625977;-8,90794219970703;513,7518;58,69781;5;120;False
12;224,5;-5,65474510192871;513,6931;58,19629;5;120;False
13;2274,607421875;162,121412014961;656;66,86389;8;167,5;True
14;2274,72778320313;82,8901318311691;656;66,84393;8;167,5;True
15;2274,39282226563;111,951691198349;656;66,89948;8;167,5;True
16;2274,15966796875;81,4740693092346;656;66,93817;8;167,5;True
17;2273,97924804688;100,080925941467;656;66,96814;8;167,5;True
18;2274,1484375;114,738688993454;656;66,94006;8;167,5;True
19;2274,02709960938;187,478520393372;656;66,96021;8;167,5;True
20;2274,7265625;220,56498041153;656;66,84412;8;167,5;True
21;2274,49633789063;205,291292047501;656;66,88232;8;167,5;True
22;2274,72509765625;189,508702659607;656;66,84436;8;167,5;True
23;2274,7626953125;241,879092597961;656;66,83813;8;167,5;True
24;2274,46166992188;319,867556524277;656;66,88806;8;167,5;True
25;2274,5595703125;213,050947284698;656;66,87183;8;167,5;True
26;2274,3681640625;184,52882976532;656;66,90356;8;167,5;True
27;2274,74853515625;298,254983615875;656;66,84045;8;167,5;True
28;2274,32202148438;193,191354751587;656;66,91125;8;167,5;True
29;2274,98413085938;322,596945953369;656;66,80139;8;167,5;True
30;2274,2763671875;194,969396781921;656;66,91882;8;167,5;True
