Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;75,1427917480469;-69,3499035358429;235,0517;28,09473;7;156;False
2;92,5484161376953;-66,1763939857483;230,8832;27,13091;7;124,5;False
3;92,8785552978516;-38,5722267627716;230,8244;27,07478;7;124,5;False
4;92,9763946533203;-55,5123721122742;231,1594;27,11974;7;124,5;False
5;92,4684143066406;-58,1188849449158;230,8513;27,13646;7;124,5;False
6;93,0120697021484;-39,5136871814728;231,1596;27,11481;7;124,5;False
7;93,0425491333008;-33,7517135620117;231,1581;27,11032;7;124,5;False
8;98,8325805664063;-64,289674282074;227,7863;26,58588;8;112;False
9;99,8255844116211;-44,698256778717;227,7701;26,44641;8;112;False
10;99,9202651977539;-50,756433391571;227,925;26,46033;8;112;False
11;99,9482727050781;-49,8576274871826;227,9301;26,45737;8;112;False
12;98,8206634521484;-60,8007165670395;227,9665;26,6189;8;112;False
13;99,6316070556641;-56,2957302093506;227,9759;26,50885;8;112;False
14;99,8215103149414;-35,4476715087891;227,7693;26,44684;8;112;False
15;99,8344802856445;-57,4214221000671;227,7739;26,44586;8;112;False
16;99,849739074707;-44,7115117788315;227,7632;26,44189;8;112;False
17;99,7165298461914;-47,5570729494095;227,9525;26,4931;8;112;False
18;99,7991256713867;-34,8710224151611;227,936;26,47888;8;112;False
19;99,8219528198242;-42,5375290155411;227,9667;26,48108;8;112;False
20;99,7546691894531;-29,7322724819183;227,9293;26,48383;8;112;False
21;99,7869338989258;-51,9307355880737;227,9267;26,47894;8;112;False
22;99,6764373779297;-46,1293817043304;227,9538;26,49884;8;112;False
23;99,6127319335938;-33,8271164894104;227,9789;26,51196;8;112;False
24;98,4045104980469;-45,0734607696533;227,9915;26,68066;8;112;False
25;99,749755859375;-66,1025197982788;227,7624;26,45551;8;112;False
26;99,7573547363281;-43,9854679107666;227,9458;26,48633;8;112;False
27;99,7748336791992;-64,6383823394775;227,7735;26,45398;8;112;False
28;99,8034362792969;-60,1619769573212;227,9485;26,48047;8;112;False
29;99,8111877441406;-53,1072208404541;227,9441;26,47864;8;112;False
30;98,4695205688477;-66,4617385864258;227,7151;26,62354;8;112;False
