Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;159,235748291016;10,28235912323;475,6424;55,936;6;192,5;False
2;161,707611083984;-5,48925371170044;439,7173;48,9326;6;192,5;False
3;179,981628417969;-49,309917640686;369,8373;38,92345;8;123,5;False
4;165,194976806641;-60,46887550354;439,7575;48,38635;6;192,5;False
5;205,0908203125;-23,932324886322;513,465;58,05672;7;160;False
6;170,851333618164;-39,4227579116821;405,6656;43,89984;7;160;False
7;2166,71801757813;97,0098664999008;656;81,08307;8;217;True
8;2165,40600585938;52,1619338989258;656;81,31339;8;217;True
9;2120,5625;186,272939682007;656;92,87598;8;177;True
10;2167,1103515625;99,0754902839661;656;81,01422;8;217;True
11;2164,48974609375;110,732318210602;656;81,4743;8;217;True
12;2159,80908203125;106,72698392868;656;82,29767;8;217;True
13;2163,83251953125;83,2157663822174;656;81,58978;8;217;True
14;2162,1923828125;101,663529586792;656;81,87817;8;217;True
15;2160,30346679688;90,4583568572998;656;82,21063;8;217;True
16;2165,76416015625;82,1576984405518;656;81,25049;8;217;True
17;2155,66821289063;153,188499546051;656;83,02771;8;217;True
18;2154,763671875;108,437283611298;656;83,18738;8;217;True
19;2159,30151367188;110,372120857239;656;82,38708;8;217;True
20;2159,79565429688;71,7897798538208;656;82,30005;8;217;True
21;2160,28002929688;116,645649909973;656;82,21472;8;217;True
22;2164,98071289063;117,722758197784;656;81,38806;8;217;True
23;2163,33154296875;121,991354703903;656;81,67786;8;217;True
24;2165,94140625;84,604515171051;656;81,21936;8;217;True
25;2072,93774414063;84,1946670532227;625,7075;75,83044;8;217;True
26;2151,73657226563;89,5079393386841;656;83,72229;8;217;True
27;2235,57202148438;194,459924697876;656;69,29004;8;216,5;True
28;2233,09790039063;157,365268516541;656;69,70581;8;216,5;True
29;2235,38720703125;159,497199821472;656;69,32104;8;216,5;True
30;2234,55737304688;172,063165569305;656;69,46045;8;216,5;True
