Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;113,798568725586;-47,7516293525696;302,7143;35,74076;6;139;False
2;116,488525390625;-77,1944738388061;336,8854;41,5347;6;139;False
3;161,893524169922;-35,3223097801208;369,9766;40,04971;8;145;False
4;161,804870605469;-41,6003488540649;382,4563;42,29108;8;145;False
5;168,109283447266;-30,9590964317322;406,7281;45,68719;8;145;False
6;240,246551513672;-4,58965120315552;551,7454;58,29938;7;172,5;False
7;244,626907348633;-15,020254611969;551,7539;57,58871;7;172,5;False
8;193,692108154297;-42,2789976119995;442,5582;45,99411;7;172,5;False
9;226,706008911133;-51,5889343261719;551,7588;60,52356;7;172,5;False
10;224,485412597656;-34,4298293113709;514,9709;54,159;7;172,5;False
11;248,221740722656;15,9764548301697;587,4129;64,94995;7;155,5;False
12;2190,09692382813;70,9956235647201;656;77,44012;8;212;True
13;2192,060546875;73,6873164653778;656;77,09973;8;212;True
14;2192,54296875;82,8604990005493;656;77,01617;8;212;True
15;2194,28881835938;184,663251852989;656;76,71399;8;212;True
16;2188,75561523438;174,728165847063;656;77,67285;8;212;True
17;2203,87036132813;139,651407814026;656;75,06128;8;212;True
18;2202,71655273438;160,013405418396;656;75,25977;8;212;True
19;2205,77587890625;144,962070846558;656;74,73376;8;212;True
20;2204,77001953125;155,522490024567;656;74,90662;8;212;True
21;2209,90307617188;129,472017669678;656;74,02588;8;212;True
22;2204,57470703125;138,400533676147;656;74,94019;8;212;True
23;2198,82788085938;141,582206726074;656;75,92981;8;212;True
24;2200,22314453125;165,118173789978;656;75,68921;8;212;True
25;2208,2861328125;171,701814556122;656;74,30298;8;212;True
26;2195,25439453125;123,339867687225;656;76,547;8;212;True
27;2196,83520507813;170,495597362518;656;76,2738;8;212;True
28;2192,5517578125;140,930670571327;656;77,01465;8;212;True
29;2189,36743164063;113,039025259018;656;77,56665;8;212;True
30;2207,69677734375;152,239169120789;656;74,40405;8;212;True
