Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;2204,9345703125;71,8860483169556;656;76,25664;7;196;True
2;150,576141357422;-46,7869941711426;405,163;48,3895;6;142,5;False
3;133,857421875;-23,4185146331787;337,8322;37,69284;8;156,5;False
4;242,00163269043;-56,55594830513;628,6816;77,18863;8;115,5;False
5;145,462829589844;-49,9615334033966;300,4845;34,35085;8;89;False
6;162,068588256836;-45,2360327720642;442,533;51,07339;8;171,5;False
7;62,751033782959;-59,6049825668335;264,6963;31,0311;8;213;False
8;134,236999511719;-61,7796752929687;381,9068;42,82031;8;192;False
9;124,840797424316;-63,8853975057602;334,3735;37,04361;8;175;False
10;65,6362609863281;-62,2524803161621;166,4959;19,67136;8;123,5;False
11;132,881713867188;-45,2743515014648;400,1868;47,86584;7;173;False
12;201,430694580078;-19,9380421876907;479,2225;52,00842;7;164,5;False
13;234,938735961914;-62,0616724491119;590,2657;66,78839;7;166,5;False
14;80,6894226074219;-75,4996356964111;303,8408;34,28674;6;227,5;False
15;105,856781005859;-52,5062713623047;296,7747;33,81909;7;166,5;False
16;102,909294128418;-69,73922996521;340,4641;44,07538;8;142,5;False
17;149,786682128906;-62,477547454834;546,5643;74,25977;7;154;False
18;51,7040901184082;-78,4471314430237;261,6754;34,01453;8;187,5;False
19;135,621627807617;-69,046806883812;367,6909;43,22333;7;151;False
20;136,654830932617;-71,947857093811;336,2921;38,39099;8;138;False
21;192,206802368164;-74,9818206787109;585,189;74,5813;8;150;False
22;70,2165756225586;-90,9266645431519;266,9121;35,39612;6;145;False
23;129,633651733398;-67,8000442504883;335,5016;36,90198;8;170;False
24;2240,212890625;28,0046339035034;656;74,57288;7;145;True
25;134,497772216797;-59,111644744873;440,5479;55,56079;7;167,5;False
26;241,236694335938;-34,5379018783569;623,7707;70,02734;8;189,5;False
27;160,771118164063;-49,4842332839966;476,3806;61,81165;6;121;False
28;150,291534423828;-78,4302942276001;441,0685;57,91711;6;109;False
29;111,273239135742;-25,9403284072876;301,3065;35,08105;5;149,5;False
30;2133,51245117188;43,9076940536499;656;93,6991;5;142;True
