Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;299,237365722656;69,7093968555331;299,2374;38,9995;8;132,5;False
2;440,613983154297;108,576968400925;440,614;55,00552;7;154;False
3;369,242401123047;72,5120555996895;369,2424;52,94437;7;154;False
4;477,061828613281;146,429744073749;477,0618;62,92432;8;165;False
5;469,447265625;169,886267638206;469,4473;55,39893;7;145;False
6;440,622833251953;127,085911658406;440,6228;55,04492;7;145;False
7;475,978973388672;157,220150367916;475,979;55,81226;7;145;False
8;470,768218994141;95,950287107937;470,7682;55,19922;7;145;False
9;597,023010253906;144,319720301032;597,023;73,8208;6;157,5;False
10;548,693786621094;120,590237179399;548,6938;66,35999;7;137,5;False
11;585,828430175781;184,802481862903;585,8284;74,30151;6;157,5;False
12;547,167236328125;177,345907461643;547,1672;73,73291;7;137,5;False
13;476,602478027344;178,971192918718;476,6025;55,43091;6;157,5;False
14;562,968994140625;175,218231466413;562,969;69,86841;6;157,5;False
15;607,046203613281;139,139567899704;607,0462;74,66162;6;157,5;False
16;656;182,691627901793;656;64,37866;7;172,5;True
17;656;147,780571448803;656;65,66284;7;172,5;True
18;656;132,010665380955;656;65,87891;7;172,5;True
19;656;191,984330840409;656;67,01074;7;172,5;True
20;656;122,159056913853;656;65,21094;7;172,5;True
21;656;213,578237769008;656;65,64941;7;172,5;True
22;656;185,406413173676;656;68,48633;7;172,5;True
23;656;204,290839481354;656;64,93457;7;172,5;True
24;656;233,706007790565;656;65,37646;7;172,5;True
25;656;207,549782183766;656;66,31055;7;172,5;True
26;656;174,354936750978;656;67,05127;7;172,5;True
27;656;186,320026861131;656;65,2168;7;172,5;True
28;656;168,622792625427;656;65,29883;7;172,5;True
29;656;186,349999603629;656;65,63037;7;172,5;True
30;656;256,01298134923;656;66,12793;7;172,5;True
