Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;97,5721435546875;-34,0825181007385;234,2406;27,82104;7;113;False
2;97,343376159668;-33,9925678253174;233,8038;27,77638;7;113;False
3;97,3275833129883;-53,2233442306519;234,3031;27,86642;7;113;False
4;97,2842636108398;-34,4894355773926;234,0008;27,81934;7;113;False
5;97,3991470336914;-48,3402839899063;234,3227;27,8598;7;113;False
6;97,2912139892578;-30,8839958429337;234,3388;27,87781;7;113;False
7;97,2796325683594;-19,0905622959137;234,1403;27,84451;7;113;False
8;97,3091201782227;-24,4155051231384;234,1852;27,84827;7;113;False
9;97,2925186157227;-47,3167044401169;234,3284;27,87579;7;113;False
10;97,2980499267578;-20,5279185295105;234,3097;27,87173;7;113;False
11;106,585807800293;-32,1779373645782;237,5226;28,85971;7;88,5;False
12;106,657958984375;-39,794516658783;237,3571;28,82001;7;88,5;False
13;106,63639831543;-27,4390612363815;237,3566;28,823;7;88,5;False
14;106,646240234375;-28,1396148681641;237,3573;28,82172;7;88,5;False
15;106,583763122559;-45,5494157791138;237,3555;28,83032;7;88,5;False
16;107,138061523438;-28,9921822547913;237,2824;28,73822;7;88,5;False
17;107,258697509766;-42,7421197891235;237,6722;28,79016;7;88,5;False
18;106,609886169434;-36,2183784484863;237,3573;28,8269;7;88,5;False
19;106,699211120605;-36,5245162010193;237,3604;28,8147;7;88,5;False
20;106,678329467773;-29,7790254592895;237,3611;28,81781;7;88,5;False
21;106,59114074707;-48,1857581853867;237,3607;28,8302;7;88,5;False
22;106,658187866211;-26,4059442520142;237,3586;28,82025;7;88,5;False
23;106,648170471191;-18,8536346912384;237,3585;28,82166;7;88,5;False
24;106,700622558594;-29,1481721401215;237,3587;28,81421;7;88,5;False
25;112,767837524414;3,34764256477356;232,2994;27,52271;8;82;False
26;110,959228515625;-19,4360496520996;229,8572;27,34692;8;82;False
27;111,434181213379;-41,6962613105774;233,277;27,88184;8;82;False
28;111,095176696777;3,61639366149902;229,4238;27,25183;8;82;False
29;111,370498657227;-24,1415076255798;232,9801;27,8385;8;82;False
30;111,68342590332;0,94370584487915;233,6169;27,90662;8;82;False
