Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;0,25;0,15988095626235;2,022357;7,822479;4;155,5;False
2;0,25;0,159583336859941;2,19762;4,5383;4;155,5;False
3;0,25;0,181369050592184;2,197621;4,376831;4;155,5;False
4;0,25;0,181428574770689;2,197611;4,413452;4;155,5;False
5;0,25;0,196011907607317;2,197612;4,515381;4;155,5;False
6;0,333333343267441;0,190297622978687;0;0;3;187;False
7;0,333333343267441;0,207857147604227;0;0;3;187;False
8;0,333333343267441;0,189345242083073;0;0;3;187;False
9;0,333333343267441;0,193154766410589;0;0;3;187;False
10;0,333333343267441;0,181785718351603;0;0;3;187;False
11;0,333333343267441;0,183095242083073;0;0;3;187;False
12;0,5;0,218095241487026;0;0;2;166;False
13;0,5;0,202559527754784;0;0;2;166;False
14;0,5;0,199226193130016;0;0;2;166;False
15;0,5;0,215297622978687;0;0;2;166;False
16;0,5;0,249404766410589;0;0;2;166;False
17;0,5;0,243095242232084;0;0;2;166;False
18;+Infinito;+Infinito;56,8783;22,73047;0;163,5;False
19;+Infinito;+Infinito;57,47505;26,44897;0;163,5;False
20;+Infinito;+Infinito;56,87701;22,87622;0;163,5;False
21;+Infinito;+Infinito;56,87701;23,93115;0;163,5;False
22;+Infinito;+Infinito;57,47505;26,67822;0;163,5;False
23;+Infinito;+Infinito;56,87701;23,40137;0;163,5;False
24;+Infinito;+Infinito;53,12897;20,56445;0;163,5;False
25;+Infinito;+Infinito;57,47505;26,15674;0;163,5;False
26;+Infinito;+Infinito;56,87701;23,08643;0;163,5;False
27;+Infinito;+Infinito;53,12897;19,3584;0;163,5;False
28;+Infinito;+Infinito;56,8783;23,6748;0;163,5;False
29;+Infinito;+Infinito;53,12897;20,33887;0;163,5;False
30;+Infinito;+Infinito;56,87699;22,62939;0;163,5;False
