Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;69,9430236816406;-72,9040337562561;233,7367;28,45764;8;158;False
2;83,2959136962891;-27,1287813186646;223,9938;27,92097;8;114,5;False
3;94,1769409179688;-31,7707405090332;228,0027;27,09573;8;114,5;False
4;93,0166091918945;-52,0638243675232;222,5764;26,30699;8;114,5;False
5;98,126579284668;-40,9114141464233;219,5529;26,03944;7;100,5;False
6;99,9551773071289;-23,6849731206894;228,6852;27,38644;7;100,5;False
7;106,555549621582;-25,8167925834656;225,1953;26,96841;7;84,5;False
8;103,168380737305;-14,6559024333954;228,4292;28,01678;7;84,5;False
9;103,090057373047;-35,3290921211243;228,3296;28,01022;7;84,5;False
10;104,485427856445;-15,1920005321503;233,2781;28,69138;7;84,5;False
11;113,115219116211;-41,1227779388428;222,6211;24,54767;7;100,5;False
12;112,574180603027;-19,4340545654297;222,5514;24,60724;7;100,5;False
13;109,938034057617;-41,2091076850891;211,0296;23,39612;5;94,5;False
14;106,275291442871;-40,1572859048843;233,9268;27,84271;5;94,5;False
15;106,234107971191;-20,6132361412048;233,5379;27,78009;5;94,5;False
16;102,98323059082;-31,7143412828445;229,9132;27,07458;7;102;False
17;105,926681518555;-50,2260046005249;234,1394;27,9292;5;94,5;False
18;106,101364135742;-56,445431804657;233,6171;27,81268;5;94,5;False
19;110,05200958252;-32,5239728450775;211,0852;23,39069;5;94,5;False
20;106,120071411133;-28,8661382675171;233,4839;27,78662;5;94,5;False
21;107,900596618652;-2,89262824058533;231,2695;27,60339;8;88;False
22;107,744323730469;-31,4356281518936;231,3668;27,64246;8;88;False
23;116,00284576416;-22,1324025154114;234,8083;27,79016;7;78;False
24;116,227241516113;-31,8312682151794;234,6566;27,73206;7;78;False
25;116,218284606934;-28,56538875103;234,7454;27,7489;7;78;False
26;116,279090881348;-37,99423224926;234,6799;27,72888;7;78;False
27;116,216606140137;-29,0681198120117;234,8059;27,75977;7;78;False
28;116,131156921387;-33,5948204994202;234,6522;27,74475;7;78;False
29;116,235641479492;-21,4726458787918;234,6521;27,7301;7;78;False
30;116,435928344727;-21,109481048584;234,3737;27,6532;7;78;False
