Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;470,891082763672;169,079545669258;470,8911;67,24869;8;165,5;False
2;601,942138671875;218,021593290567;601,9421;76,08478;8;145,5;False
3;473,434753417969;171,038933682442;473,4348;56,22748;8;107,5;False
4;465,599090576172;98,1862035550177;465,5991;52,82416;8;107,5;False
5;477,987579345703;123,960385146737;477,9876;68,05621;6;168,5;False
6;472,512329101563;129,219936108589;472,5123;54,73962;8;107,5;False
7;474,755126953125;176,663288769126;474,7551;70;8;184;False
8;586,712280273438;155,259872019291;586,7123;70;7;169;False
9;621,084655761719;232,069745489955;621,0847;90;8;126;False
10;625,302734375;236,469850671291;625,3027;76,62671;8;126;False
11;585,446228027344;135,629277680814;585,4462;75,67944;7;169;False
12;588,02685546875;141,30138194412;588,0269;68,27368;7;169;False
13;586,691467285156;154,192501834407;586,6915;77,40259;7;169;False
14;625,222900390625;171,681889045239;625,2229;76,73315;8;104;False
15;590,7568359375;275,996497747302;590,7568;70;8;104;False
16;625,068603515625;204,346471747756;625,0686;76,90137;8;104;False
17;656;188,4497225523;656;80;8;104;True
18;656;178,433046229742;656;70;8;104;True
19;626,196960449219;168,025059045851;626,197;76,04639;8;104;True
20;656;243,322592839599;656;86,6333;8;172,5;True
21;656;152,007631853595;656;87,82617;8;172,5;True
22;656;149,823635157943;656;79,9873;8;172,5;True
23;656;175,926509541273;656;86,95557;8;172,5;True
24;656;163,463511490822;656;78,43359;8;172,5;True
25;656;115,082991927862;656;79,54199;8;172,5;True
26;656;216,002451884747;656;86,00391;8;172,5;True
27;656;140,742846423388;656;84,25928;8;172,5;True
28;656;196,932459667325;656;86,86475;8;172,5;True
29;656;202,367625373602;656;79,14209;8;172,5;True
30;656;140,186344657838;656;78,73975;8;172,5;True
