Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;206,492767333984;-31,8728374481201;476,8685;53,17923;8;134,5;False
2;2159,46850585938;87,0790088653564;656;87,41278;8;160;True
3;113,84090423584;-14,628048491478;345,6763;42,26688;8;155,5;False
4;121,717079162598;-3,27759184837341;300,7528;34,58249;8;134;False
5;160,953750610352;-44,8125020980835;624,1799;84,39905;7;186;False
6;125,814506530762;-16,9288520812988;302,2998;35,92703;8;111,5;False
7;160,717498779297;-1,23756847381592;380,2883;43,97195;7;120,5;False
8;172,157073974609;-10,1970845222473;335,8546;38,00989;6;71;False
9;124,706985473633;-36,5310465812683;270,1232;31,16699;7;100,5;False
10;158,598846435547;-16,922207736969;417,3699;50,07343;8;133,5;False
11;239,489486694336;-6,00598049163818;625,2544;74,97784;8;138,5;False
12;2225,66918945313;127,128182411194;656;77,16754;6;144;True
13;118,735771179199;21,5120513916016;295,9507;33,7276;8;140;False
14;121,256767272949;-14,462379527092;301,3939;33,77167;8;147,5;False
15;175,001892089844;-1,69565281867981;441,5864;51,31458;7;140,5;False
16;2214,62573242188;113,62947769165;656;75,4906;8;185,5;True
17;124,157485961914;-21,4908479690552;300,8758;33,1864;8;148,5;False
18;167,103332519531;-16,1578506469727;372,1604;40,25464;6;137;False
19;122,728302001953;-20,8850706100464;298,737;33,19934;8;146;False
20;230,069122314453;19,4254348754883;584,2402;69,28894;8;133,5;False
21;229,441604614258;-23,1920238256454;625,7199;75,07422;7;158,5;False
22;2267,46435546875;87,5256315231323;656;69,0564;8;155,5;True
23;172,245300292969;-15,6497247695923;479,44;58,97107;8;138,5;False
24;123,787200927734;-23,7042159080505;304,0863;35,42676;6;126,5;False
25;236,291687011719;-1,31151466369629;626,7709;70,53601;8;200;False
26;203,908996582031;9,58647501468658;514,9188;61,26807;6;127;False
27;190,858169555664;-37,0181205272675;475,2995;56,30615;7;124;False
28;181,292633056641;7,43108189105988;440,6752;49,3324;6;150,5;False
29;152,228256225586;-32,0230319976807;550,7396;76,39502;6;134;False
30;169,279235839844;-30,1486192703247;514,9734;65,02612;8;152;False
