Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;72,0323104858398;57,9299816131592;227,8652;34,39185;7;145;False
2;74,686637878418;55,9731781005859;233,4419;29,78288;6;131;False
3;77,3818817138672;58,6141586303711;229,3721;35,63779;5;111,5;False
4;72,2278366088867;55,9056356430054;229,3117;26,8228;7;141,5;False
5;75,4884643554688;59,7307420730591;238,1171;29,07024;6;108;False
6;77,1938858032227;59,7340684890747;233,3788;28,08344;5;152;False
7;74,3062210083008;61,093593788147;225,7133;29,94601;6;104;False
8;72,7334289550781;60,8266572952271;238,51;29,60895;7;170;False
9;74,2227172851563;57,9572597503662;255,7285;34,26291;7;186;False
10;76,4412002563477;63,2848072052002;221,128;51,77301;5;119,5;False
11;72,8236465454102;57,046887588501;247,462;32,50641;8;162,5;False
12;72,0082015991211;55,7930856704712;241,7058;29,55145;8;179;False
13;71,7854690551758;55,8381513595581;241,5133;29,99951;8;193;False
14;74,3935089111328;56,3533792495728;231,8187;28,15399;6;140;False
15;74,9004592895508;59,6508033752441;234,2719;27,95361;6;122;False
16;72,9824829101563;57,9325881958008;235,9134;28,21948;7;135;False
17;72,8814315795898;55,9956085205078;222,6572;49,84015;6;181;False
18;72,8983306884766;59,1864158630371;217,521;50,68463;6;144,5;False
19;75,2161178588867;61,0426996231079;239,6087;29,37036;6;137;False
20;72,646728515625;57,8935134887695;244,3847;33,98267;8;153,5;False
21;74,0030975341797;55,8551900863647;228,932;50,5835;6;147;False
22;73,7172012329102;57,9820180892944;224,4016;26,47888;6;135,5;False
23;77,5105819702148;60,9823230743408;230,0777;31,43262;5;107,5;False
24;73,1144866943359;59,3210618972778;223,9703;33,72754;6;174;False
25;73,8752899169922;57,2628383636475;232,6685;27,84363;6;181,5;False
26;76,4856414794922;56,130150604248;226,151;50,01758;5;151;False
27;73,6920928955078;58,9190105438232;226,1853;48,88672;6;149,5;False
28;78,0422897338867;63,3863355636597;210,9959;23,77795;4;129,5;False
29;76,6587753295898;63,1455682754517;225,3387;26,47498;5;133,5;False
30;74,874267578125;60,0360555648804;242,7309;29,8136;6;182;False
